Entity,Code,Year,Life expectancy at birth (years),Healthcare expenditure (% of GDP)
Afghanistan,AFG,2022,65.617,23.08817
Albania,ALB,2022,78.7688,6.19368
Algeria,DZA,2022,76.1289,3.62304
Andorra,AND,2022,84.0164,7.53679
Angola,AGO,2022,64.2455,2.92738
Antigua and Barbuda,ATG,2022,77.4833,5.72999
Argentina,ARG,2022,75.8061,9.86305
Armenia,ARM,2022,74.6333,9.96213
Australia,AUS,2022,82.7662,9.92688
Austria,AUT,2022,81.2959,11.15729
Azerbaijan,AZE,2022,74.125,3.97841
Bahamas,BHS,2022,74.4911,7.21692
Bahrain,BHR,2022,80.9921,3.83745
Bangladesh,BGD,2022,74.2647,2.39039
Barbados,BRB,2022,75.6761,6.29389
Belarus,BLR,2022,74.3612,6.6592
Belgium,BEL,2022,81.1589,10.76192
Belize,BLZ,2022,72.1904,4.23174
Benin,BEN,2022,60.4751,2.67981
Bhutan,BTN,2022,72.754,4.38546
Bolivia,BOL,2022,67.4342,8.43143
Bosnia and Herzegovina,BIH,2022,76.7772,8.71645
Botswana,BWA,2022,68.7487,5.72839
Brazil,BRA,2022,74.8719,9.14277
Brunei,BRN,2022,72.9171,1.81768
Bulgaria,BGR,2022,74.0342,7.66358
Burkina Faso,BFA,2022,60.7,6.77182
Burundi,BDI,2022,62.8819,8.39523
Cambodia,KHM,2022,70.528,4.7109
Cameroon,CMR,2022,62.4428,4.47836
Canada,CAN,2022,81.2493,11.23433
Cape Verde,CPV,2022,75.9068,6.6744
Central African Republic,CAF,2022,18.8177,9.95509
Chad,TCD,2022,54.5275,4.5255
Chile,CHL,2022,79.1762,10.06173
China,CHN,2022,78.2021,5.36949
Colombia,COL,2022,76.5081,7.57361
Comoros,COM,2022,66.4806,8.38039
Congo,COG,2022,65.0003,2.19225
Cook Islands,COK,2022,75.0787,5.74317
Costa Rica,CRI,2022,79.3164,7.18368
Cote d'Ivoire,CIV,2022,61.5622,3.64241
